step,x,y,theta,v,lateral_error
0,0,0,0,0.15,0
1,0.0075,0,0,0.3,0.0075
2,0.0225,0,0,0.45,0.0225
3,0.045,0,0,0.6,0.045
4,0.075,0,0,0.75,0.075
5,0.1125,0,0,0.9,0.104528
6,0.1575,0,0,1.05,0.0595284
7,0.21,0,0,1.2,0.00702838
8,0.27,0,0,1.35,0.0529716
9,0.3375,0,0,1.5,0.0965568
10,0.4125,0,0,1.65,0.0215568
11,0.495,0,0,1.8,0.0609432
12,0.585,0,0,1.95,0.0660851
13,0.6825,0,0,2.1,0.0314149
14,0.7875,0,0,2.25,0.0806135
15,0.9,0,0,2.4,0.0318865
16,1.02,0,0,2.55,0.0651419
17,1.1475,0,0,2.7,0.0623581
18,1.2825,0,0,2.85,0.0196703
19,1.425,0,0,3,0.0941987
20,1.575,0,0,3.15,0.0558013
21,1.7325,0,0,3.3,0.00372705
22,1.8975,0,0,3.45,0.0557554
23,2.07,0,0,3.6,0.100284
24,2.25,0,0,3.75,0.0797162
25,2.4375,0,0,3.9,0.0501878
26,2.6325,0,0,4.05,0.0281594
27,2.835,0,0,4.2,0.0136311
28,3.045,0,0,4.35,0.00660267
29,3.2625,0,0,4.5,0.00707429
30,3.4875,0,0,4.65,0.0150459
31,3.72,0,0,4.8,0.0305175
32,3.96,0,0,4.95,0.0534891
33,4.2075,0,0,5.1,0.0839608
34,4.4625,0,0,5.25,0.095096
35,4.725,0,0,5.4,0.0496244
36,4.995,0,0,5.55,0.00334725
37,5.2725,0,0,5.7,0.0638189
38,5.5575,0,0,5.85,0.0852379
39,5.85,0,0,6,0.00976628
40,6.15,0,0,6.15,0.0732053
41,6.4575,0,0,6.3,0.0533514
42,6.7725,0,0,6.45,0.0446202
43,7.095,0,0,6.6,0.0669366
44,7.425,0,0,6.75,0.0460351
45,7.7625,0,0,6.9,0.0505217
46,8.1075,0,0,7.05,0.0774499
47,8.46,0,0,7.2,0.00410684
48,8.82,0,0,7.35,0.0781636
49,9.1875,0,0,7.5,0.072308
50,9.5625,0,0,7.65,0.0132513
51,9.945,0,0,7.8,0.0383055
52,10.335,0,0,7.95,0.0823623
53,10.7325,0,0,8.1,0.0981093
54,11.1375,0,0,8.25,0.0690526
55,11.55,0,0,8.4,0.0474958
56,11.97,0,0,8.55,0.0334391
57,12.3975,0,0,8.7,0.0268823
58,12.8325,0,0,8.85,0.0278255
59,13.275,0,0,9,0.0362688
60,13.725,0,0,9.15,0.052212
61,14.1825,0,0,9.3,0.0756553
62,14.6475,0,0,9.45,0.106598
63,15.12,0,0,9.6,0.0719866
64,15.6,0,0,9.75,0.0260434
65,16.0875,0,0,9.9,0.0273998
66,16.5825,0,0,10.05,0.0883431
67,17.085,0,0,10.2,0.0602421
68,17.595,0,0,10.35,0.0157012
69,18.1125,0,0,10.5,0.0991444
70,18.6375,0,0,10.65,0.0269407
71,19.17,0,0,10.8,0.0715025
72,19.71,0,0,10.95,0.0395826
73,20.2575,0,0,11.1,0.0738606
74,20.8125,0,0,11.25,0.0222245
75,21.375,0,0,11.4,0.106219
76,21.945,0,0,11.55,0.0251336
77,22.5225,0,0,11.7,0.0484516
78,23.1075,0,0,11.85,0.102492
79,23.7,0,0,12,0.0439065
80,24.3,0,0,12.15,0.00717863
81,24.9075,0,0,12.3,0.0507638
82,25.5225,0,0,12.45,0.0868489
83,26.145,0,0,12.6,0.101594
84,26.775,0,0,12.75,0.0805092
85,27.4125,0,0,12.9,0.066924
86,28.0575,0,0,13.05,0.0608389
87,28.71,0,0,13.2,0.0622538
88,29.37,0,0,13.35,0.0711686
89,30.0375,0,0,13.5,0.0875835
90,30.7125,0,0,13.65,0.106512
91,31.3948,0.0129874,0.00914165,13.7938,0.0814448
92,32.0832,0.0540798,0.0364784,13.927,0.0560071
93,32.7758,0.125995,0.0802075,14.0508,0.0374873
94,33.4712,0.225532,0.132913,14.1658,0.0533024
95,34.1693,0.34512,0.180923,14.2726,0.0958887
96,34.8708,0.476443,0.221194,14.3719,0.075012
97,35.576,0.614638,0.249216,14.464,0.0247828
98,36.285,0.757223,0.264152,14.5496,0.0454335
99,36.9976,0.903612,0.268024,14.6291,0.106039
100,37.713,1.05606,0.265671,14.7029,0.104331
101,38.4299,1.21877,0.263223,14.7715,0.10101
102,39.147,1.39517,0.265335,14.8352,0.128326
103,39.8639,1.58581,0.273317,14.8944,0.161483
104,40.5806,1.78816,0.28521,14.9494,0.122293
105,41.2983,1.99695,0.296575,15.0004,0.110226
106,42.0187,2.20548,0.302227,15.0478,0.140687
107,42.7438,2.40657,0.297595,15.0919,0.0779894
108,43.4745,2.59475,0.280734,15.1327,0.0835704
