step,x,y,theta,v,lateral_error
0,0,0,0,0.15,0
1,0.0075,0,0,0.3,0.0075
2,0.0225,0,0,0.45,0.0225
3,0.045,0,0,0.6,0.045
4,0.075,0,0,0.75,0.075
5,0.1125,0,0,0.9,0.104528
6,0.1575,0,0,1.05,0.0595284
7,0.21,0,0,1.2,0.00702838
8,0.27,0,0,1.35,0.0529716
9,0.3375,0,0,1.5,0.0965568
10,0.4125,0,0,1.65,0.0215568
11,0.495,0,0,1.8,0.0609432
12,0.585,0,0,1.95,0.0660851
13,0.6825,0,0,2.1,0.0314149
14,0.7875,0,0,2.25,0.0806135
15,0.9,0,0,2.4,0.0318865
16,1.02,0,0,2.55,0.0651419
17,1.1475,0,0,2.7,0.0623581
18,1.2825,0,0,2.85,0.0196703
19,1.425,0,0,3,0.0941987
20,1.575,0,0,3.15,0.0558013
21,1.7325,0,0,3.3,0.00372705
22,1.8975,0,0,3.45,0.0557554
23,2.07,0,0,3.6,0.100284
24,2.25,0,0,3.75,0.0797162
25,2.4375,0,0,3.9,0.0501878
26,2.6325,0,0,4.05,0.0281594
27,2.835,0,0,4.2,0.0136311
28,3.045,0,0,4.35,0.00660267
29,3.2625,0,0,4.5,0.00707429
30,3.4875,0,0,4.65,0.0150459
31,3.72,0,0,4.8,0.0305175
32,3.96,0,0,4.95,0.0534891
33,4.2075,0,0,5.1,0.0839608
34,4.4625,0,0,5.25,0.095096
35,4.725,0,0,5.4,0.0496244
36,4.995,0,0,5.55,0.00334725
37,5.2725,0,0,5.7,0.0638189
38,5.5575,0,0,5.85,0.0852379
39,5.85,0,0,6,0.00976628
40,6.15,0,0,6.15,0.0732053
41,6.4575,0,0,6.3,0.0533514
42,6.7725,0,0,6.45,0.0446202
43,7.095,0,0,6.6,0.0669366
44,7.425,0,0,6.75,0.0460351
45,7.7625,0,0,6.9,0.0505217
46,8.1075,0,0,7.05,0.0774499
47,8.46,0,0,7.2,0.00410684
48,8.82,0,0,7.35,0.0781636
49,9.1875,0,0,7.5,0.072308
50,9.5625,0,0,7.65,0.0132513
51,9.945,0,0,7.8,0.0383055
52,10.335,0,0,7.95,0.0823623
53,10.7325,0,0,8.1,0.0981093
54,11.1375,0,0,8.25,0.0690526
55,11.55,0,0,8.4,0.0474958
56,11.97,0,0,8.55,0.0334391
57,12.3975,0,0,8.7,0.0268823
58,12.8325,0,0,8.85,0.0278255
59,13.275,0,0,9,0.0362688
60,13.725,0,0,9.15,0.052212
61,14.1825,0,0,9.3,0.0756553
62,14.6475,0,0,9.45,0.106598
63,15.12,0,0,9.6,0.0719866
64,15.6,0,0,9.75,0.0260434
65,16.0875,0,0,9.9,0.0273998
66,16.5825,0,0,10.05,0.0883431
67,17.085,0,0,10.2,0.0602421
68,17.595,0,0,10.35,0.0157012
69,18.1125,0,0,10.5,0.0991444
70,18.6375,0,0,10.65,0.0269407
71,19.17,0,0,10.8,0.0715025
72,19.71,0,0,10.95,0.0395826
73,20.2575,0,0,11.1,0.0738606
74,20.8125,0,0,11.25,0.0222245
75,21.375,0,0,11.4,0.106219
76,21.945,0,0,11.55,0.0251336
77,22.5225,0,0,11.7,0.0484516
78,23.1075,0,0,11.85,0.102492
79,23.7,0,0,12,0.0439065
80,24.3,0,0,12.15,0.00717863
81,24.9075,0,0,12.3,0.0507638
82,25.5225,0,0,12.45,0.0868489
83,26.145,0,0,12.6,0.101594
84,26.775,0.000102436,7.20439e-05,12.75,0.0805092
85,27.4125,0.000721669,0.000494835,12.9,0.0669276
86,28.0575,0.00264843,0.00175832,13.05,0.0608931
87,28.71,0.00697709,0.00445631,13.2,0.0626252
88,29.3699,0.0150426,0.00918997,13.35,0.0726736
89,30.0373,0.0283607,0.0164886,13.5,0.0918667
90,30.712,0.0485681,0.0267502,13.65,0.111401
91,31.3939,0.077361,0.0402036,13.7938,0.081363
92,32.0825,0.116418,0.0568887,13.927,0.0428429
93,32.7769,0.167327,0.0766536,14.0508,0.00698754
94,33.4765,0.23153,0.0991653,14.1658,0.0562733
95,34.1804,0.310371,0.124013,14.2726,0.112779
96,34.8877,0.404849,0.15059,14.3719,0.110421
97,35.5977,0.515478,0.178069,14.464,0.117586
98,36.3097,0.642409,0.20557,14.5496,0.149279
99,37.023,0.785402,0.232201,14.6291,0.193116
100,37.7371,0.943706,0.257022,14.7029,0.205559
101,38.4517,1.11615,0.279145,14.7715,0.205862
102,39.1667,1.30123,0.297833,14.8352,0.217854
103,39.8822,1.4969,0.312323,14.8944,0.240227
104,40.5985,1.70082,0.322017,14.9494,0.210056
105,41.3159,1.91055,0.326612,15.0004,0.194379
106,42.0351,2.12318,0.325763,15.0478,0.202738
